"sparse_PW1_e","sparse_DW_e","sparse_PW2_e","sparse_PW1_C","sparse_PW2_C","sparse_DW_C"
"24.4228535296","41.3340967","31.901479529700005","6400","8192","9088"
"44.389706550499994","61.99311398","40.99274001300001","14848","8192","13312"
"44.389706550499994","61.99311398","53.1452101566","15104","10752","20992"
"64.96709321910002","82.65213126","66.5637990689","25088","13312","27648"
"64.96709321910002","82.65213126","66.5637990689","23680","12288","25600"
"64.96709321910002","45.75215021999999","27.347222201800005","26240","3328","12640"
"49.97438256640001","43.92427215","54.6074850527","24224","5376","27136"
"49.97438256640001","43.92427215","54.6074850527","23776","6144","26624"
"49.97438256640001","43.92427215","54.6074850527","23488","5632","26880"
"49.97438256640001","43.92427215","99.2570624768","24256","6144","43776"
"110.88069567670001","126.519472","157.54226351980003","52416","8064","76992"
"110.88069567670001","36.51927224999999","35.1421244383","52672","2240","15608"
"31.921083161600002","18.800207999999998","57.2102839841","14544","2240","27424"
"78.2398588928","90.80843066000001","75.61145676799998","38096","3208","38632"
"78.2398588928","90.80843066000001","75.61145676799998","38264","3312","39176"
"78.2398588928","90.80843066000001","148.98518161919998","38240","3424","84648"
