1_weight_DRAM,2_pred_DRAM,3_pred_glb,4_binary_decoder,5_pred_buffer,6_zero_replace_flag,7_zero_replacing,8_adders,9_masks_AND
127.20,8.39,0.00,0.57,47.00,1.53,3.06,4.59,1.53
190.80,8.39,0.00,0.86,70.15,2.29,4.59,6.88,2.29
190.80,8.39,0.00,0.86,70.15,2.29,4.59,6.88,2.29
63.60,2.10,0.00,0.29,23.32,0.76,1.53,2.29,0.76
84.80,2.10,0.00,0.38,31.04,1.02,2.04,3.06,1.02
84.80,2.10,0.00,0.38,31.04,1.02,2.04,3.06,1.02
84.80,2.10,0.00,0.38,31.04,1.02,2.04,3.06,1.02
26.50,0.52,0.00,0.12,9.69,0.32,0.64,0.96,0.32
33.12,0.52,0.00,0.15,12.10,0.40,0.80,1.19,0.40
33.12,0.52,0.00,0.15,12.10,0.40,0.80,1.19,0.40
33.12,0.52,0.00,0.15,12.10,0.40,0.80,1.19,0.40
33.12,0.52,0.00,0.15,12.10,0.40,0.80,1.19,0.40
33.12,0.52,0.00,0.15,12.10,0.40,0.80,1.19,0.40
66.25,0.52,0.00,0.30,24.15,0.80,1.59,2.39,0.80
