"block","1_PW1_e","2_DW_e","3_PW2_e","4_PW1_c","5_DW_c","6_PW2_c","sparse_PW1_e","sparse_DW_e","sparse_PW2_e","sparse_PW1_C","sparse_PW2_C","sparse_DW_C","1_pred_decom_e","2_pred_conv_e","3_main_e","4_overhead_e","5_pred_decom_c","6_pred_conv_c","7_main_c"
"1","25.59","41.57292339999999","34.03","24576","12288","32768","24.5128535296","41.57292339999999","32.041479529700005","6400","8192","9088","89.74","300.65","33.06","193.86","9216","5184","55296"
"2","48.16","62.34218995999999","43.58","49152","18432","49152","44.53970655049999","62.34218995999999","41.122740013000005","14848","8192","13312","100.20","300.65","48.02","286.25","13824","5184","82944"
"3","48.16","62.34218995999999","58.07","49152","18432","65536","44.53970655049999","62.34218995999999","53.355210156599995","15104","10752","20992","100.20","300.65","48.02","286.25","13824","5184","82944"
"4","70.42","83.13145652","73.17","98304","24576","98304","65.2070932191","83.13145652","66.79379906889999","25088","13312","27648","100.20","189.52","18.14","94.66","13824","1296","27648"
"5","70.42","83.13145652","73.17","98304","24576","98304","65.2070932191","83.13145652","66.79379906889999","23680","12288","25600","31.40","63.08","20.28","125.45","4608","1296","36864"
"6","70.42","45.985480419999995","30.65","98304","6144","49152","65.2070932191","45.985480419999995","27.467222201800002","26240","3328","12640","31.40","63.08","20.28","125.45","4608","1296","36864"
"7","56.49","44.17637703","63.3","98304","12288","98304","50.1543825664","44.17637703","54.78748505269999","24224","5376","27136","31.40","63.08","20.28","125.45","4608","1296","36864"
"8","56.49","44.17637703","63.3","98304","12288","98304","50.1543825664","44.17637703","54.78748505269999","23776","6144","26624","31.40","9.01","7.13","39.06","4608","324","11520"
"9","56.49","44.17637703","63.3","98304","12288","98304","50.1543825664","44.17637703","54.78748505269999","23488","5632","26880","11.07","3.70","7.74","48.68","1440","324","14400"
"10","56.49","44.17637703","112.95","98304","12288","131072","50.1543825664","44.17637703","99.7770624768","24256","6144","43776","11.07","3.70","7.74","48.68","1440","324","14400"
"11","126.08","128.2032585","179.11","196608","18432","196608","111.4206956767","128.2032585","158.54226351980003","52416","8064","76992","11.07","3.70","7.74","48.68","1440","324","14400"
"12","37.12","18.904153","40.33","49152","4608","49152","32.0910831616","18.904153","35.40212443830001","13672","2240","15608","11.07","3.70","7.74","48.68","1440","324","14400"
"13","126.08","36.701515","69.85","196608","4608","81920","111.4206956767","36.701515","57.5102839841","53760","2240","27424","11.07","3.70","7.74","48.68","1440","324","14400"
"14","92.1","92.28762836","89.67","153600","7680","153600","78.57985889279999","92.28762836","75.98145676799999","38096","3208","38632","11.07","3.70","14.48","96.80","1440","324","28800"
"15","92.1","92.28762836","89.67","153600","7680","153600","78.57985889279999","92.28762836","75.98145676799999","38264","3312","39176","0","0","0","0","0","0","0"
"16","92.1","92.28762836","177.11","153600","7680","307200","78.57985889279999","92.28762836","149.8451816192","38240","3424","84648","0","0","0","0","0","0","0"
"total","1124.71","1015.8830164799998","1261.2600000000002","1714176","204288","1761280","1000.5031277468998","1015.8830164799998","1104.9765347712","441552","516176","101848","582.3600000000002","1311.92","268.39000000000004","1616.6300000000003","77760.0","23004.0","471744.0"
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","cycles","speedup","","energy","speedup"
"fusion","572508.0","1.0","","3779.3","1.0"
"sparse","1059576","1.8507619107505922","","3121.3626789980995","0.8259102688323497"
"dense","3679744","6.427410621336295","","3401.85301648","0.9001278058053078"
