1_pred_decom_e,2_pred_conv_e,3_main_e,4_overhead_e,5_pred_decom_c,6_pred_conv_c,7_main_c
89.74,300.65,33.06,150.64,11059,6220,55296
100.20,300.65,48.02,221.41,16588,6220,82944
100.20,300.65,48.02,221.41,16588,6220,82944
100.20,189.52,18.14,73.05,16588,1555,27648
31.40,63.08,20.28,96.64,5529,1555,36864
31.40,63.08,20.28,96.64,5529,1555,36864
31.40,63.08,20.28,96.64,5529,1555,36864
31.40,9.01,7.13,30.06,5529,388,11520
11.07,3.70,7.74,37.43,1728,388,14400
11.07,3.70,7.74,37.43,1728,388,14400
11.07,3.70,7.74,37.43,1728,388,14400
11.07,3.70,7.74,37.43,1728,388,14400
11.07,3.70,7.74,37.43,1728,388,14400
11.07,3.70,14.48,74.29,1728,388,28800
