"sparse_PW1_e","sparse_DW_e","sparse_PW2_e","sparse_PW1_C","sparse_PW2_C","sparse_DW_C"
"24.5128535296","41.57292339999999","32.041479529700005","9216","9216","12288"
"44.53970655049999","62.34218995999999","41.122740013000005","16640","8192","13824"
"44.53970655049999","62.34218995999999","53.355210156599995","19456","9216","29184"
"65.2070932191","83.13145652","66.79379906889999","27776","14336","40960"
"65.2070932191","83.13145652","66.79379906889999","28288","12288","28160"
"65.2070932191","45.985480419999995","27.467222201800002","25344","3328","12672"
"50.1543825664","44.17637703","54.78748505269999","25888","5632","29952"
"50.1543825664","44.17637703","54.78748505269999","23968","6144","27904"
"50.1543825664","44.17637703","54.78748505269999","24320","5376","29376"
"50.1543825664","44.17637703","99.7770624768","24864","6400","46592"
"111.4206956767","128.2032585","158.54226351980003","57920","7424","105856"
"32.0910831616","18.904153","35.40212443830001","14536","1984","15552"
"111.4206956767","36.701515","57.5102839841","55680","2368","28288"
"78.57985889279999","92.28762836","75.98145676799999","39568","3176","43320"
"78.57985889279999","92.28762836","75.98145676799999","39416","3056","41000"
"78.57985889279999","92.28762836","149.8451816192","39176","2944","88136"
