"block","1_PW1_e","2_DW_e","3_PW2_e","4_PW1_c","5_DW_c","6_PW2_c","sparse_PW1_e","sparse_DW_e","sparse_PW2_e","sparse_PW1_C","sparse_PW2_C","sparse_DW_C","1_pred_decom_e","2_pred_conv_e","3_main_e","4_overhead_e","5_pred_decom_c","6_pred_conv_c","7_main_c"
"1","25.59","41.57292339999999","34.03","24576","12288","32768","24.5128535296","41.57292339999999","32.041479529700005","7936","8192","9728","77.80","118.34","33.06","199.26","12288","6912","55296"
"2","48.16","62.34218995999999","43.58","49152","18432","49152","44.53970655049999","62.34218995999999","41.122740013000005","15360","9216","15872","87.90","118.34","48.02","293.83","18432","6912","82944"
"3","23.79","21.60372935","8.21","24576","11520","10240","22.575426931200003","21.60372935","7.5840751185999995","6528","5248","4096","87.90","290.41","48.02","127.24","18432","4800","82944"
"4","13.94","19.013507999999998","14.71","19200","19200","19200","12.702574720000001","19.013507999999998","13.470235801600001","5632","8448","5120","30.02","183.73","48.02","144.91","4608","4800","82944"
"5","13.94","19.013507999999998","14.71","19200","19200","19200","12.702574720000001","19.013507999999998","13.470235801600001","5088","8704","5696","33.92","183.73","48.02","168.47","6144","4800","82944"
"6","25.67","27.60935799","45.83","38400","7680","76800","23.190471603200002","27.60935799","40.8709432064","10336","4736","24512","33.92","70.08","48.02","168.47","6144","1728","82944"
"7","92.73","55.211056389999996","94.01","153600","15360","153600","82.69961832960001","55.211056389999996","83.97961832960002","40960","6912","40480","33.92","70.08","48.02","168.47","6144","1728","82944"
"8","92.73","55.211056389999996","94.01","153600","15360","153600","82.69961832960001","55.211056389999996","83.97961832960002","41440","6656","42208","33.92","70.08","20.28","128.62","6144","1728","36864"
"9","92.73","55.211056389999996","94.01","153600","15360","153600","82.69961832960001","55.211056389999996","83.97961832960002","41760","8192","38912","33.92","10.01","7.13","40.04","6144","432","11520"
"10","92.73","55.211056389999996","117.45","153600","15360","215040","82.69961832960001","55.211056389999996","103.497280128","40800","9984","54752","12.05","4.11","7.13","47.40","1920","432","11520"
"11","163.53","231.16716166999998","180.94","301056","21504","301056","143.99619217920002","231.16716166999998","161.4061921792","75712","9216","78048","12.05","4.11","7.74","49.89","1920","432","14400"
"12","163.53","300.6864255","65.72","301056","26880","107520","143.99619217920002","300.6864255","56.1380197376","77184","12696","29664","12.05","6.42","7.74","49.89","1920","1200","14400"
"13","92.1","363.73132330000004","89.67","153600","38400","153600","78.57985889279999","363.73132330000004","75.98145676799999","41136","14848","41280","12.05","6.42","7.74","49.89","1920","1200","14400"
"14","92.1","363.73132330000004","89.67","153600","38400","153600","78.57985889279999","363.73132330000004","75.98145676799999","38896","14240","42864","12.05","6.42","7.74","49.89","1920","1200","14400"
"15","92.1","92.28762836","177.11","153600","7680","307200","78.57985889279999","92.28762836","149.8451816192","38632","3040","88560","12.05","4.11","14.48","99.14","1920","432","28800"
"total","1125.37","1763.6033043900002","1163.6599999999999","1852416","282624","1906176","994.7540424097","1763.6033043900002","1023.3481516597001","487400","521792","130328","525.5200000000001","1146.3899999999999","401.1600000000001","1785.4100000000005","96000.0","38736.0","699264.0"
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
"","cycles","speedup","","energy","speedup"
"fusion","834000.0","1.0","","3858.4800000000005","1.0"
"sparse","1139520","1.3663309352517985","","3781.7054984594","0.9801023974361406"
"dense","4041216","4.845582733812949","","4052.63330439","1.0503185980982146"
