1_pred_decom_e,2_pred_conv_e,3_main_e,4_overhead_e,5_pred_decom_c,6_pred_conv_c,7_main_c
77.80,118.34,33.06,199.26,12288,6912,55296
87.90,118.34,48.02,293.83,18432,6912,82944
87.90,290.41,48.02,127.24,18432,4800,82944
30.02,183.73,48.02,144.91,4608,4800,82944
33.92,183.73,48.02,168.47,6144,4800,82944
33.92,70.08,48.02,168.47,6144,1728,82944
33.92,70.08,48.02,168.47,6144,1728,82944
33.92,70.08,20.28,128.62,6144,1728,36864
33.92,10.01,7.13,40.04,6144,432,11520
12.05,4.11,7.13,47.40,1920,432,11520
12.05,4.11,7.74,49.89,1920,432,14400
12.05,6.42,7.74,49.89,1920,1200,14400
12.05,6.42,7.74,49.89,1920,1200,14400
12.05,6.42,7.74,49.89,1920,1200,14400
12.05,4.11,14.48,99.14,1920,432,28800
